2023-12-16 15:25:49 status unpacked gpgv:amd64 2.2.40-1.1
2023-12-16 15:25:50 install liblz4-1:amd64 <none> 1.9.4-1
2023-12-16 15:25:50 status half-installed liblz4-1:amd64 1.9.4-1
2023-12-16 15:25:50 status unpacked liblz4-1:amd64 1.9.4-1
2023-12-16 15:25:51 install liblzma5:amd64 <none> 5.4.1-0.2
2023-12-16 15:25:51 status half-installed liblzma5:amd64 5.4.1-0.2
2023-12-16 15:25:51 status unpacked liblzma5:amd64 5.4.1-0.2
2023-12-16 15:25:52 install libcap2:amd64 <none> 1:2.66-4
2023-12-16 15:25:52 status half-installed libcap2:amd64 1:2.66-4
2023-12-16 15:25:52 status unpacked libcap2:amd64 1:2.66-4
2023-12-16 15:25:53 install libapt-pkg6.0:amd64 <none> 2.6.1
2023-12-16 15:25:53 status half-installed libapt-pkg6.0:amd64 2.6.1
2023-12-16 15:25:53 status unpacked libapt-pkg6.0:amd64 2.6.1
2023-12-16 15:25:54 install debian-archive-keyring:all <none> 2023.3+deb12u1
2023-12-16 15:25:54 status half-installed debian-archive-keyring:all 2023.3+deb12u1
2023-12-16 15:25:54 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-12-16 15:25:55 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2023-12-16 15:25:55 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-12-16 15:25:55 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2023-12-16 15:25:56 install libnettle8:amd64 <none> 3.8.1-2
2023-12-16 15:25:56 status half-installed libnettle8:amd64 3.8.1-2
2023-12-16 15:25:56 status unpacked libnettle8:amd64 3.8.1-2
2023-12-16 15:25:56 install libhogweed6:amd64 <none> 3.8.1-2
2023-12-16 15:25:56 status half-installed libhogweed6:amd64 3.8.1-2
2023-12-16 15:25:57 status unpacked libhogweed6:amd64 3.8.1-2
2023-12-16 15:25:57 install libffi8:amd64 <none> 3.4.4-1
2023-12-16 15:25:57 status half-installed libffi8:amd64 3.4.4-1
2023-12-16 15:25:57 status unpacked libffi8:amd64 3.4.4-1
2023-12-16 15:25:57 install libp11-kit0:amd64 <none> 0.24.1-2
2023-12-16 15:25:57 status half-installed libp11-kit0:amd64 0.24.1-2
2023-12-16 15:25:58 status unpacked libp11-kit0:amd64 0.24.1-2
2023-12-16 15:25:58 install libgnutls30:amd64 <none> 3.7.9-2+deb12u1
2023-12-16 15:25:58 status half-installed libgnutls30:amd64 3.7.9-2+deb12u1
2023-12-16 15:25:59 status unpacked libgnutls30:amd64 3.7.9-2+deb12u1
2023-12-16 15:26:00 install apt:amd64 <none> 2.6.1
2023-12-16 15:26:00 status half-installed apt:amd64 2.6.1
2023-12-16 15:26:02 status unpacked apt:amd64 2.6.1
2023-12-16 15:26:03 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2023-12-16 15:26:03 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-12-16 15:26:03 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-12-16 15:26:04 install libmd0:amd64 <none> 1.0.4-2
2023-12-16 15:26:04 status half-installed libmd0:amd64 1.0.4-2
2023-12-16 15:26:04 status unpacked libmd0:amd64 1.0.4-2
2023-12-16 15:26:04 install libpcre2-8-0:amd64 <none> 10.42-1
2023-12-16 15:26:04 status half-installed libpcre2-8-0:amd64 10.42-1
2023-12-16 15:26:05 status unpacked libpcre2-8-0:amd64 10.42-1
2023-12-16 15:26:05 install libacl1:amd64 <none> 2.3.1-3
2023-12-16 15:26:05 status half-installed libacl1:amd64 2.3.1-3
2023-12-16 15:26:06 status unpacked libacl1:amd64 2.3.1-3
2023-12-16 15:26:06 upgrade dpkg:amd64 1.21.22 1.21.22
2023-12-16 15:26:06 status half-configured dpkg:amd64 1.21.22
2023-12-16 15:26:06 status unpacked dpkg:amd64 1.21.22
2023-12-16 15:26:06 status half-installed dpkg:amd64 1.21.22
2023-12-16 15:26:10 status unpacked dpkg:amd64 1.21.22
2023-12-16 15:26:11 upgrade debconf:all 1.5.82 1.5.82
2023-12-16 15:26:11 status half-configured debconf:all 1.5.82
2023-12-16 15:26:11 status unpacked debconf:all 1.5.82
2023-12-16 15:26:11 status half-installed debconf:all 1.5.82
2023-12-16 15:26:13 status unpacked debconf:all 1.5.82
2023-12-16 15:26:14 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2023-12-16 15:26:14 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:14 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:14 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2023-12-16 15:26:14 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:15 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:15 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2023-12-16 15:26:15 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:16 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2023-12-16 15:26:16 install adduser:all <none> 3.134
2023-12-16 15:26:16 status half-installed adduser:all 3.134
2023-12-16 15:26:17 status unpacked adduser:all 3.134
2023-12-16 15:26:17 upgrade base-files:amd64 12.4+deb12u4 12.4+deb12u4
2023-12-16 15:26:17 status half-configured base-files:amd64 12.4+deb12u4
2023-12-16 15:26:17 status unpacked base-files:amd64 12.4+deb12u4
2023-12-16 15:26:17 status half-installed base-files:amd64 12.4+deb12u4
2023-12-16 15:26:18 status unpacked base-files:amd64 12.4+deb12u4
2023-12-16 15:26:18 install libdebconfclient0:amd64 <none> 0.270
2023-12-16 15:26:18 status half-installed libdebconfclient0:amd64 0.270
2023-12-16 15:26:18 status unpacked libdebconfclient0:amd64 0.270
2023-12-16 15:26:19 upgrade base-passwd:amd64 3.6.1 3.6.1
2023-12-16 15:26:19 status half-configured base-passwd:amd64 3.6.1
2023-12-16 15:26:19 status unpacked base-passwd:amd64 3.6.1
2023-12-16 15:26:19 status half-installed base-passwd:amd64 3.6.1
2023-12-16 15:26:19 status unpacked base-passwd:amd64 3.6.1
2023-12-16 15:26:20 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2023-12-16 15:26:20 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2023-12-16 15:26:21 status unpacked debianutils:amd64 5.7-0.5~deb12u1
2023-12-16 15:26:21 install bash:amd64 <none> 5.2.15-2+b2
2023-12-16 15:26:21 status half-installed bash:amd64 5.2.15-2+b2
2023-12-16 15:26:23 status unpacked bash:amd64 5.2.15-2+b2
2023-12-16 15:26:24 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2023-12-16 15:26:24 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2023-12-16 15:26:24 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2023-12-16 15:26:24 install libattr1:amd64 <none> 1:2.5.1-4
2023-12-16 15:26:24 status half-installed libattr1:amd64 1:2.5.1-4
2023-12-16 15:26:25 status unpacked libattr1:amd64 1:2.5.1-4
2023-12-16 15:26:25 install coreutils:amd64 <none> 9.1-1
2023-12-16 15:26:25 status half-installed coreutils:amd64 9.1-1
2023-12-16 15:26:31 status unpacked coreutils:amd64 9.1-1
2023-12-16 15:26:32 install dash:amd64 <none> 0.5.12-2
2023-12-16 15:26:32 status half-installed dash:amd64 0.5.12-2
2023-12-16 15:26:32 status unpacked dash:amd64 0.5.12-2
